Original_Index,SA2,Price,Z-Score,SA2_Mean,SA2_Std,Deviation_From_Mean,Address,Suburb,Bedrooms,Bathrooms,Floor_Area,Land_Area
17338,Forrestfield - Wattle Grove,80000,-2.7396860045016616,473601.65497630334,143666.70280081895,-393601.65497630334,30 Bark Circle,Kenwick,4,2,135,532
14778,Winthrop,1400000,2.7388173823256556,803064.6754098361,217953.67900114562,596935.3245901639,26 Whitfeld Terrace,Winthrop,5,2,330,869
15437,Winthrop,1400000,2.7388173823256556,803064.6754098361,217953.67900114562,596935.3245901639,28 Edmiston Way,Winthrop,5,3,346,770
15317,Rockingham Lakes,655000,2.737485582543773,326341.1417721519,120058.66270990406,328658.8582278481,27b Esplanade,Rockingham,3,2,152,1022
5495,Rockingham Lakes,655000,2.737485582543773,326341.1417721519,120058.66270990406,328658.8582278481,14 Lyttleton Street,Rockingham,4,2,392,565
22478,Wembley Downs - Churchlands - Woodlands,1900000,2.7373096968065496,966601.5,340991.1933198273,933398.5,43 Loton Street,Woodlands,4,2,353,809
21855,Greenwood - Warwick,250000,-2.7323555703381466,547268.4779116466,108795.67840244807,-297268.4779116466,41 Beaumont Way,Greenwood,3,2,192,729
6105,Greenwood - Warwick,250000,-2.7323555703381466,547268.4779116466,108795.67840244807,-297268.4779116466,15 Ballantine Road,Warwick,4,1,143,734
20015,Lockridge - Kiara,838000,2.7304011544530624,448533.7236641221,142640.6796307898,389466.2763358779,38 Devon Road,Bassendean,5,2,184,1011
17124,Riverton - Shelley - Rossmoyne,1850000,2.7300822533225517,802721.9448621554,383606.77736478136,1047278.0551378446,3 Tuscan Street,Rossmoyne,4,3,391,500
579,Murdoch - Kardinya,1150000,2.730061699638164,589506.6455399061,205304.28104770687,560493.3544600939,1 Waugh Court,North Lake,5,2,416,855
22293,Murdoch - Kardinya,1150000,2.730061699638164,589506.6455399061,205304.28104770687,560493.3544600939,42 Wanstead Street,North Coogee,4,3,298,364
23875,Murdoch - Kardinya,1150000,2.730061699638164,589506.6455399061,205304.28104770687,560493.3544600939,5 Barrow Crescent,North Coogee,4,2,285,370
