Original_Index,SA2,Price,Z-Score,SA2_Mean,SA2_Std,Deviation_From_Mean,Address,Suburb,Bedrooms,Bathrooms,Floor_Area,Land_Area
5294,Manning - Waterford,2100000,3.573905565554345,919637.2554517133,330272.50521802803,1180362.7445482868,14 Crossman Pass,Salter Point,4,4,419,509
12577,Manning - Waterford,2100000,3.573905565554345,919637.2554517133,330272.50521802803,1180362.7445482868,22 Salter Point Parade,Salter Point,5,2,341,1089
3350,Mindarie - Quinns Rocks - Jindalee,1150000,3.565134422970444,469936.92954363493,190753.83695903997,680063.0704563651,12 Barquentine Avenue,Jindalee,4,3,437,838
28161,Wanneroo - Sinagra,955000,3.5548274836461897,518958.41985723557,122661.81190191435,436041.58014276443,65 Amberley Way,Pearsall,4,2,369,749
20066,Port Kennedy,685000,3.547201315541574,367967.20430107525,89375.4730834952,317032.79569892475,38 Le Mans Elbow,Port Kennedy,4,2,223,688
13039,Padbury,1825000,3.54589469838888,723002.7368421053,310781.15874636674,1101997.2631578948,23 Kirribilli Court,Kallaroo,5,2,412,1180
21800,Casuarina - Wandi,1050000,3.5430245359586157,377879.49912587414,189702.4686260814,672120.5008741259,403 De Haer Road,Wandi,5,2,223,31200
31906,Casuarina - Wandi,1050000,3.5430245359586157,377879.49912587414,189702.4686260814,672120.5008741259,85 The Horseshoe,Wandi,4,2,259,20002
12735,Forrestfield - Wattle Grove,982000,3.5387346901706622,473601.65497630334,143666.70280081895,508398.34502369666,224 Holmes Road,Forrestfield,4,2,247,10000
22452,Jandakot,1165000,3.5343837681440933,564175.6062992126,169994.101692098,600824.3937007874,43 Hebble Loop,Banjup,4,2,260,20001
26398,Trigg - North Beach - Watermans Bay,2425000,3.5327061287498984,1050076.9719887956,389198.24573626276,1374923.0280112044,59a West Coast Drive,Watermans Bay,4,4,272,912
15167,Rockingham Lakes,750000,3.5287654273771865,326341.1417721519,120058.66270990406,423658.8582278481,27 Roscoe Turn,Rockingham,4,3,237,401
21613,Rockingham Lakes,750000,3.5287654273771865,326341.1417721519,120058.66270990406,423658.8582278481,40 Bell Street,Rockingham,4,3,259,1011
29715,Forrestfield - Wattle Grove,980000,3.5248135799829186,473601.65497630334,143666.70280081895,506398.34502369666,70 Elizabeth Street,East Cannington,4,1,225,3732
12082,Serpentine - Jarrahdale,1600000,3.5223885397774652,598935.1359516616,284200.57944873476,1001064.8640483384,2133 South Western Highway,Jarrahdale,5,2,312,200683
6473,Perth Airport,1575000,3.518007038032266,576291.5412262157,283884.7244979913,998708.4587737843,15 Market Street,Guildford,4,3,380,784
13910,Beckenham - Kenwick - Langford,760000,3.5154300375199408,436725.31955922866,91958.78654687566,323274.68044077134,24A Nicol Road,Parkwood,4,2,200,365
3137,Ocean Reef,1283000,3.5108200998164176,606561.259977195,192672.57244487587,676438.740022805,116 Oceanside Promenade,Mullaloo,4,2,228,792
15381,Willagee,2300000,3.5053182132774516,873653.9904761905,406909.1371280054,1426346.0095238094,28 Burke Drive,Attadale,4,2,442,799
27548,Willagee,2300000,3.5053182132774516,873653.9904761905,406909.1371280054,1426346.0095238094,60 Burke Drive,Attadale,2,1,127,1047
7528,Hocking - Pearsall,2385000,3.505204011644969,764861.328125,462209.52232525824,1620138.671875,16 The Links,Gnangara,5,3,625,10028
11198,Lesmurdie - Bickley - Carmel,1625000,3.4944531880918728,561552.7089072544,304324.37747819285,1063447.2910927455,20 Loaring Road,Bickley,4,2,400,59116
12096,Ellenbrook,1500000,3.489804687262513,556913.86875,270240.3761139365,943086.13125,215 Cathedral Avenue,Brigadoon,3,2,202,20272
17862,Beckenham - Kenwick - Langford,116100,-3.486619730413592,436725.31955922866,91958.78654687566,-320625.31955922866,31 Letsom Way,Langford,4,1,127,831
22604,South Perth - Kensington,2225000,3.4843837031735414,997348.3917525773,352329.6263638502,1227651.6082474226,44 Anstey Street,South Perth,3,1,349,534
13861,Kalamunda - Maida Vale - Gooseberry Hill,1200000,3.482572199562921,479757.75092421443,206813.29999882824,720242.2490757855,243 William Street,Herne Hill,5,2,240,40463
7777,Kalamunda - Maida Vale - Gooseberry Hill,1200000,3.482572199562921,479757.75092421443,206813.29999882824,720242.2490757855,169 Stock Road,Herne Hill,4,1,168,40020
6866,Kalamunda - Maida Vale - Gooseberry Hill,1200000,3.482572199562921,479757.75092421443,206813.29999882824,720242.2490757855,156 Loton Road,Millendon,2,2,208,23792
29847,Casuarina - Wandi,1037500,3.4771318773625985,377879.49912587414,189702.4686260814,659620.5008741259,71 Scovell Crescent,Anketell,4,2,280,20509
9197,Neerabup National Park,975000,3.4669525221393616,467800.70680628275,146295.42514782937,507199.29319371725,1820 Wanneroo Road,Neerabup,4,2,171,38133
7866,Mindarie - Quinns Rocks - Jindalee,1130000,3.4602872528225923,469936.92954363493,190753.83695903997,660063.0704563651,17 Baton Rouge Drive,Mindarie,4,1,327,755
29720,Balcatta - Hamersley,915000,3.4581446936862807,560256.652892562,102581.98500343606,354743.347107438,70 Glenorchy Crescent,Hamersley,5,4,420,907
20054,Jandakot,1150000,3.4461454125147384,564175.6062992126,169994.101692098,585824.3937007874,38 Hebble Loop,Banjup,4,3,236,20000
17137,Victoria Park - Lathlain - Burswood,1665000,3.4431448338214414,767549.3827160494,260648.52354406987,897450.6172839506,3 Vantage Way,Burswood,4,2,260,361
10945,Trigg - North Beach - Watermans Bay,2390000,3.442777665856164,1050076.9719887956,389198.24573626276,1339923.0280112044,20 Ada Street,Watermans Bay,5,2,271,1024
8356,Iluka - Burns Beach,1574000,3.438481789510884,715964.8845577211,249538.9442107042,858035.1154422789,17 Third Avenue,Burns Beach,5,3,418,694
18862,Maddington - Orange Grove - Martin,1250000,3.4357416328499477,462390.1898527005,229240.1159088255,787609.8101472994,34 Fridayhill Drive,Southern River,5,3,410,869
20651,Warnbro,1000000,3.434632972544417,415480.118,170184.08856856127,584519.882,4 Cardiff Place,Warnbro,4,2,188,844
22921,Perth Airport,1550000,3.429943123905823,576291.5412262157,283884.7244979913,973708.4587737843,45 Market Street,Guildford,5,3,395,1661
4179,Perth Airport,1550000,3.429943123905823,576291.5412262157,283884.7244979913,973708.4587737843,124 Benara Road,Caversham,5,2,237,16583
22536,Kalamunda - Maida Vale - Gooseberry Hill,1189000,3.4293841309035926,479757.75092421443,206813.29999882824,709242.2490757855,43 Swan View Road,Greenmount,5,2,356,2461
2658,Winthrop,1550000,3.4270370108606327,803064.6754098361,217953.67900114562,746935.3245901639,11 Rossiter Way,Winthrop,5,2,351,719
8911,Stirling - Osborne Park,1600000,3.4246147419413204,729540.3379629629,254177.39735115352,870459.6620370371,18 Messina Avenue,Stirling,4,2,382,666
28803,Padbury,1785000,3.417186767183036,723002.7368421053,310781.15874636674,1061997.2631578948,7 Brookvale Rise,Kallaroo,4,3,330,930
2579,South Perth - Kensington,2200000,3.4134274220966203,997348.3917525773,352329.6263638502,1202651.6082474226,11 Norfolk Street,South Perth,3,1,312,412
